tradeId,userId,traderName,sessionId,asset,assetClass,direction,entryPrice,exitPrice,quantity,entryAt,exitAt,status,outcome,pnl,planAdherence,emotionalState,entryRationale,revengeFlag,groundTruthPathologies
9c967550-357f-4bfb-9726-c8b863e968ce,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",4f39c2ea-8687-41f7-85a0-1fafd3e976df,NVDA,equity,long,483.34,470.53,46,2025-01-06T09:30:00.000Z,2025-01-06T10:47:00.000Z,closed,loss,-64.05,4,calm,"Trend continuation setup per morning plan",false,"revenge_trading"
579fbde9-6e9f-4f1d-81da-f9fe9af45bad,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",4f39c2ea-8687-41f7-85a0-1fafd3e976df,EUR/USD,forex,short,1.06466,1.07041,7453,2025-01-06T10:21:00.000Z,2025-01-06T13:52:00.000Z,closed,loss,-41.51,3,anxious,"Support break entry",false,"revenge_trading"
49e71680-b968-4955-9e00-0b831d331ebd,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",4f39c2ea-8687-41f7-85a0-1fafd3e976df,ETH/USD,crypto,long,3179.52,3108.36,1.0683,2025-01-06T10:22:00.000Z,2025-01-06T10:34:00.000Z,closed,loss,-88.57,1,anxious,"Trying to recover fast",true,"revenge_trading"
65935493-cc1d-4657-b911-303e01a499eb,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",4f39c2ea-8687-41f7-85a0-1fafd3e976df,MSFT,equity,long,403.22,397.33,12,2025-01-06T10:23:00.000Z,2025-01-06T10:32:00.000Z,closed,loss,-58.9,1,fearful,"Still trying to get back losses",true,"revenge_trading"
1d4235e5-88d7-4e0a-8404-8ec273a3d6f6,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",4f39c2ea-8687-41f7-85a0-1fafd3e976df,BTC/USD,crypto,short,61285.98,59979.39,1.5937,2025-01-06T11:06:00.000Z,2025-01-06T14:19:00.000Z,closed,win,2032.14,3,neutral,"",false,"revenge_trading"
2c587349-dbcc-4ca9-aaac-a0ffa43c6ab8,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",882aefb1-0306-46ce-b2fc-af5392fd5ede,TSLA,equity,short,245.74,248.48,44,2025-01-13T09:30:00.000Z,2025-01-13T12:46:00.000Z,closed,loss,-131.52,4,calm,"Trend continuation setup per morning plan",false,"revenge_trading"
42962118-b618-4341-9b81-20f50feb8cf7,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",882aefb1-0306-46ce-b2fc-af5392fd5ede,TSLA,equity,short,247.47,252.16,39,2025-01-13T09:55:00.000Z,2025-01-13T11:48:00.000Z,closed,loss,-196.98,3,anxious,"Support break entry",false,"revenge_trading"
6c9444da-f050-4522-88d6-f8c84c791959,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",882aefb1-0306-46ce-b2fc-af5392fd5ede,EUR/USD,forex,long,1.08775,1.07875,1698,2025-01-13T09:57:00.000Z,2025-01-13T10:04:00.000Z,closed,loss,-28.49,1,anxious,"Trying to recover fast",true,"revenge_trading"
583487fc-8cd8-460c-8680-b084d7eab44f,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",882aefb1-0306-46ce-b2fc-af5392fd5ede,AAPL,equity,short,178.21,182.18,7,2025-01-13T09:59:00.000Z,2025-01-13T10:03:00.000Z,closed,loss,-178.65,1,fearful,"Still trying to get back losses",true,"revenge_trading"
f460c080-2110-4bec-8ed4-ff5bedc664dd,f412f236-4edc-47a2-8f54-8763a6ed2ce8,"Alex Mercer",882aefb1-0306-46ce-b2fc-af5392fd5ede,NVDA,equity,short,468.16,473.06,34,2025-01-13T11:14:00.000Z,2025-01-13T11:38:00.000Z,closed,loss,-196,3,neutral,"",false,"revenge_trading"
